Country,Country__colour,id,EuSCAPE ID or sample name,Data source,Data source__colour,Carbapenem resistance,Carbapenem resistance__colour,Host,Host__colour,Sample type,Clinical importance,Clinical importance__colour,Epidemiological context,Epidemiological context__colour,ST,ST__colour,latitude,longitude,Location accuracy,Location accuracy__colour,day,month,year,Hospital code,Best matching K-type (capsular loci),Best matching K-type (capsular loci)__colour,Presence/absence of KPC-like in silico,Presence/absence of KPC-like in silico__colour,KPC-like variant,KPC-like variant__colour,Presence/absence of OXA-48-like in silico,Presence/absence of OXA-48-like in silico__colour,OXA-48-like variant,OXA-48-like variant__colour,Colistin resistance,Colistin resistance__colour
Italy,#4D58F9,SRR1561243,Italy-2011c,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,41.87194,12.56738,Country-level,#b30000,,,2011,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Poland,#F8A690,SRR1561276,Poland-2008,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,51.919438,19.145136,Country-level,#b30000,,,2008,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561293,US-AZ-2006a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,34.0489281,-111.0937311,Region/state-level,#e34a33,,,2006,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561294,US-AZ-2006b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,34.0489281,-111.0937311,Region/state-level,#e34a33,,,2006,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561301,US-CO-2007,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.5500507,-105.7820674,Region/state-level,#e34a33,,,2007,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561302,US-DE-2006,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,38.9108325,-75.5276699,Region/state-level,#e34a33,,,2006,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561309,US-GA-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,32.1656221,-82.9000751,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL23,#fdbf6f,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561312,US-GA-2009d,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,32.1656221,-82.9000751,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561313,US-IL-2008a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.6331249,-89.3985283,Region/state-level,#e34a33,,,2008,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561315,US-IL-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.6331249,-89.3985283,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561316,US-IL-2009b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.6331249,-89.3985283,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL30,#ff7f00,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561325,US-ND-2011,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,47.5514926,-101.0020119,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561326,US-NH-2008,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,43.1938516,-71.5723953,Region/state-level,#e34a33,,,2008,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561327,US-NJ-2003,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2003,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561328,US-NJ-2004a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2004,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561329,US-NJ-2004b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2004,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561330,US-NJ-2005,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561331,US-NJ-2006,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2006,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561333,US-NJ-2007b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.0583238,-74.4056612,Region/state-level,#e34a33,,,2007,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561334,US-NM-2007,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,34.5199402,-105.8700901,Region/state-level,#e34a33,,,2007,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561336,US-NY-2004b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2004,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561345,US-NY-2009c,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561346,US-NY-2010,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2010,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561349,US-PA-2005a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.2033216,-77.1945247,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561350,US-PA-2005b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.2033216,-77.1945247,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561352,US-PA-2008,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.2033216,-77.1945247,Region/state-level,#e34a33,,,2008,Unknown acquisition (community/hospital),KL50,#8dd3c7,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561354,US-PA-2011b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.2033216,-77.1945247,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561363,US-WV-2011a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,38.5976262,-80.4549026,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561364,US-WV-2011b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,38.5976262,-80.4549026,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),KL40,#a65628,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Italy,#4D58F9,KKBO1_L003,KKBO-1,Cannatelli et al. 2013,#ffccff,Non-susceptible (correspondence with authors),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Unknown,#A4A4A4,258,#0730E8,44.4902967,11.362662,Address-level,#fef0d9,,,,"St. Orsola-Malpighi University Hospital, Bologna",KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,KPB1_L006,KPB1,Cannatelli et al. 2014,#77773c,Non-susceptible (correspondence with authors),#ED462F,Human,#2c7fb8,Pleural fluid,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,44.4902967,11.362662,Address-level,#fef0d9,,,2011,"St. Orsola-Malpighi University Hospital, Bologna",KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
USA,#38E807,BIDMC_1,BIDMC_1,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,"Bone tissue, toe",Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,8,2010,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_10,BIDMC_10,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Foot culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,8,2009,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_12A,BIDMC_12A,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Sputum,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,4,2012,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_12B,BIDMC_12B,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,4,2010,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_12C,BIDMC_12C,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Endotrachael,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,5,2012,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_13,BIDMC_13,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,11,2009,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_14,BIDMC_14,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,11,2009,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_2A,BIDMC_2A,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,5,2010,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_32,BIDMC_32,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Abscess,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,8,2012,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_4,BIDMC_4,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,"Tissue, abdomen",Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2009,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_42A,BIDMC_42A,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,12,2012,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_42B,BIDMC_42B,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,12,2012,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_5,BIDMC_5,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,7,2008,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_54,BIDMC_54,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,6,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_7A,BIDMC_7A,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,4,2012,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_7B,BIDMC_7B,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,4,2012,Boston historical,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BWH_36,BWH_36,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Bronchoalveolar lavage,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2012,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BWH_47,BWH_47,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Tissue,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,MGH_73,MGH_73,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,"Wound, deep sinus",Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,6,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_33,UCI_33,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_37,UCI_37,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_41,UCI_41,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_55,UCI_55,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Wound,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_67,UCI_67,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Sputum,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCICRE_1,UCI_1,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Sputum,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2012,Irvine prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Austria,#E3DFDC,17870_2#16,EuSCAPE_AT027,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,48.2255317,16.3458152,Address-level,#fef0d9,22,1,2014,9,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Austria,#E3DFDC,17870_2#8,EuSCAPE_AT012,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,47.0793187,15.4654229,Address-level,#fef0d9,21,11,2013,160,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Austria,#E3DFDC,17870_2#9,EuSCAPE_AT014,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,47.2301548,9.5808176,Address-level,#fef0d9,27,1,2014,155,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
